Topic,Count,Name,Representation,Representative_Docs,Dominant_Actor,Dominant_Archetype
15,13,15_drinking_bottle_kamala_harris,"['drinking', 'bottle', 'kamala', 'harris', 'vodka', 'glass', 'outside', 'house', 'white', 'next']","['someone who looks like kamala harris is sitting in an alley drinking liquor next to a cardboard sign that says wanna be president ', 'kamala harris is depicted drinking a bottle of alcohol at a rally', 'kamala is drinking ', 'kamala harris drinking vodka from a bottle ', 'kamala harris drinking a bottle of vodka']",Kamala Harris,Scandal Fabrication
1,37,1_kamala_harris_clown_vp,"['kamala', 'harris', 'clown', 'vp', 'is', 'picture', 'of', 'money', 'wearing', 'depicted']","['kamala harris is dressed as a clown in face makeup ', 'they are pictures of kamala harris dressed up as a clown', 'kamala harris is depicted laughing and holding hands with a communist clown ', 'kamala is with a clown ', 'it is a picture of kamala harris dressed as a clown']",Kamala Harris,Character Caricature
34,7,34_communist_stalin_joseph_picture,"['communist', 'stalin', 'joseph', 'picture', 'flag', 'she', 'it', 'shaking', 'harris', 'her']","['it is an image of kamala harris and joseph stalin standing together and laughing', 'it is a picture of kamala harris in a communist uniform and holding a communist flag', 'it is a picture of kamala harris in a communist uniform and she is standing with a communist flag in her hand', 'it appears to be a picture of kamala harris shaking hands with joseph stalin she has a communist flag wrapped around her', 'it is a picture of kamala harris with a communist flag wrap around her and she is shaking hands with joseph stalin']",Kamala Harris,Ideological Demonization
36,6,36_communist_comrade_kamala_own,"['communist', 'comrade', 'kamala', 'own', 'joy', 'nothing', 'reads', 'you', 'will', 'have']","['kamala is a communist at a rally ', 'kamala is depicted as a communist ', 'kamala is a communist ', 'kamala is a communist ', 'kamala is standing in front of a crowd of communist with a sign that reads you will own nothing and have joy']",Kamala Harris,Ideological Demonization
26,9,26_chicago_massive_image_hammerandsickle,"['chicago', 'massive', 'image', 'hammerandsickle', 'which', 'communism', 'communist', 'setting', 'this', 'crowd']","['the image is an aigenerated deepfake depicting kamala harris addressing a large crowd in a setting reminiscent of a communist rally with a massive red flag featuring the hammer and sickle the setting is labeled as chicago implying a political statement about harris and communism', 'the image is a screenshot of a deepfake kamala harris is speaking at a communist rally in chicago which is a reference to the democratic national convention which was held in chicago this year the word kamalunism is typed onto the image ', 'image depicts kamala harris standing in front of a massive communistthemed rally with a hammerandsickle flag red banners and the term kamalunism superimposed the setting includes chicago which is a reference to the democratic national convention which was held in chicago this year ', 'this post contains a manipulated image of kamala harris addressing a crowd under a massive communist hammerandsickle flag in what appears to be a stadium in chicago the image falsely associates harris with communism reinforcing a political attack narrative', 'this post contains a manipulated image of kamala harris addressing a crowd under a massive communist hammerandsickle flag in what appears to be a stadium in chicago the image falsely associates harris with communism reinforcing a political attack narrative']",Kamala Harris,Ideological Demonization
10,16,10_nazi_podium_behind_flags,"['nazi', 'podium', 'behind', 'flags', 'standing', 'empty', 'symbol', 'hanging', 'stadium', 'rally']","['president donal trump standing behind a podium with his right hand in the air appearing to greet a large crowd there are a variety of nazi flags in the background and in front of the podium', 'president donald trump standing behind a podium with his right hand in the air appearing to be greeting a large audience there are nazi flags behind and in front of the podium', 'donald trump is speaking on stage at a podium that has a nazi symbol on it there are also nazi flags hanging behind him ', 'donald trump is standing at a podium giving a speech and the podium has the nazi symbol on it additionally there are nazi flags behind him ', 'donald trump is standing at a podium giving a speech and the podium has a nazi symbol on it there are also nazi flags behind him']",Donald Trump,Ideological Demonization
7,19,7_speaking_communist_crowd_soldiers,"['speaking', 'communist', 'crowd', 'soldiers', 'rally', 'kamala', 'harris', 'flags', 'at', 'out']","['kamala harris speaking out into a communist crowd', 'kamala harris speaking out into a communist crowd', 'kamala harris is at a communist rally speaking in front of soviet soldiers', 'kamala harris is depicted speaking at a rally in front of communist soldiers ', 'kamala harris is speaking at a rally to a crowd of communist soldiers']",Kamala Harris,Ideological Demonization
33,7,33_front_hill_communist_capitol,"['front', 'hill', 'communist', 'capitol', 'flag', 'soviet', 'holding', 'large', 'flags', 'burning']","['kamala harris carrying a communist flag and walking with a communist army in front of the capitol building', 'kamala harris is standing in front of a burning pile of rubble there is an american flag and well as a communist flag behind her ', 'kamala harris is holding a communist flag in front of capital hill with a large crowd behind her', 'kamala harris is standing in front of capitol hill she is smiling while holding a soviet union flag behind her there is a large crowd holding up soviet flags and signs that say joy ', 'kamala harris is holding a soviet union flag standing in front of a large communist rally in front of capitol hill ']",Kamala Harris,Ideological Demonization
17,13,17_soviet_union_flag_forward,"['soviet', 'union', 'flag', 'forward', 'uniforms', 'her', 'kamala', 'harris', 'soldiers', 'uniform']","['kamala harris is smiling and wearing a soviet union outfit while standing in front of communist soldiers ', 'kamala harris is wearing devil horns and holding a staff while posing in front of a soviet union flag', 'kamala harris is depicted with a baton the soviet union glad behind her along with soldiers in soviet uniforms ', 'kamala harris is shown in a communist uniform holding a soviet union flag ', 'kamala harris is shown in a communist uniform holding a soviet union flag ']",Kamala Harris,Ideological Demonization
35,6,35_bars_hillary_hilary_clinton,"['bars', 'hillary', 'hilary', 'clinton', 'behind', 'spear', 'pikachus', 'evil', 'drink', 'coughing']","['hillary clinton is posing in an iron man suit', 'hillary clinton is depicted holding a spear with evil pikachus surrounding her ', 'hilary is behind bars ', 'hilary is behind bars ', 'it is a picture of hillary clinton behind bars in a jail and screaming']",Hilary Clinton,Scandal Fabrication
9,16,9_drag_queen_mike_pence,"['drag', 'queen', 'mike', 'pence', 'figures', 'various', 'pride', 'as', 'walking', 'dressed']","['mitch mcconnell as a drag queen', 'ted cruz is depicted as a drag queen ', 'mike pence is depicted as a drag queen wearing a bright pink outfit ', 'the video shows donald trump mike pence and lindsey graham dressed in drag donald trump is asking his republican supports to stop drag bans because he loves dressing in drag ', 'mike pence is dressed in drag']",Mike Pence,Character Caricature
20,11,20_horse_goat_knights_castle,"['horse', 'goat', 'knights', 'castle', 'riding', 'on', 'shirt', 'outfit', 'donald', 'greatest']","['donald trump is riding a horse with eagle wings fastened to him', 'donald trump is wearing a shirt that says the goat on it goat stands for greatest of all time', 'donald is riding a horse ', 'it is an image of donald trump in a knights outfit on a horse in front of a castle', 'donald trump is depicted in a knights outfit sitting on a horse in front of a castle']",Donald Trump,Character Caricature
8,16,8_taylor_swift_for_post,"['taylor', 'swift', 'for', 'post', 'vote', 'swifties', 'shirts', 'sam', 'uncle', 'endorsing']","['a picture of trumps post with ai generated crowd pictures of taylor swift fans wearing swifities for trump shirts', 'taylor swift is dressed in an uncle sam outfit inciting people to vote for trump ', 'it is a screenshot of donald trumps post of an ai generated photo of taylor swift endorsing trump', 'it is a picture of trumps post that has ai generated taylor swift fans for trump', 'taylor swift is depicted in an uncle sam outfit to incite people to vote for him as taylor is ']",Donald Trump,Public Endorsement
2,36,2_african_black_republican_hat,"['african', 'black', 'republican', 'hat', 'depicted', 'political', 'with', 'men', 'voters', 'barack']","['former president donald trump with his arms around two black women and surrounded by other black women who are supposedly all supporters', 'president trump is in the middle of a group of people of african descent holding a thumbs up the people surrounding trump are wearing seemingly stereotypical african clothing smiling all around him', 'three ai generated images of donald trump with black voters encouraging them to vote republican trump is shown at a doorstep with black americans and the voters are wearing maga hats ', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns']",Donald Trump,Public Endorsement
13,14,13_american_flag_holding_behind,"['american', 'flag', 'holding', 'behind', 'with', 'fist', 'head', 'lighting', 'an', 'donald']","['donald trump is riding a four wheeler shaped like a dinosaur with an american flag flowing behind him trump also has his fist raised ', 'donald trump holding an american flag with lighting in the background the image has a caption that reads my fellow americans the storm is upon us', 'donald trump is holding an american flag and there is a big lighting strike in the sky behind him ', 'donald trump holding a dog with an american flag behind them', 'donald trump with a clown face and halo over his head with holding a gold gun he is in front of an american flag with money falling behind him']",Donald Trump,Character Caricature
29,8,29_boat_an_image_it,"['boat', 'an', 'image', 'it', 'cat', 'surrounding', 'pointing', 'cats', 'be', 'there']","['it is an image of donald trump riding a dinosaur holding a beer surrounding by eagles flying with an american flag in the background', 'it is a picture of trump in what appears to be the oval office with a white cat that has glasses i believe the cat is supposed to be the user who posted the deepfake of harris and stalin shaking hands', 'it is an image of donald trump on a boat with a bunch of cats encasing him in the boat ', 'the image looks like an animated version of donald trump that could be used in a comic book trump is standing in an action stance pointing at something off in the distance there is an explosion behind him ', 'donald trump is in a boat that appears to be sinking the boat is out in the water and there is a shark close by there are also large duracell batteries in the boat ']",Donald Trump,Character Caricature
11,14,11_cats_kittens_cat_rowing,"['cats', 'kittens', 'cat', 'rowing', 'saving', 'full', 'asking', 'trump', 'gun', 'you']","['trump is sitting in the oval office with a cat in glasses sitting in the table the cat is the user catturd or philip buchanan ', 'cats are asking you to vote for trump ', 'cats are asking you to vote for trump ', 'donald trump is rowing a boat full of kittens', 'donald trump is rowing a boat full of kittens ']",Donald Trump,Public Endorsement
27,8,27_bag_doritos_nacho_on,"['bag', 'doritos', 'nacho', 'on', 'dorito', 'harriss', 'slogan', 'kamala', 'president', 'face']","['the image shows a bag of doritos with a photo of kamala harris on the bag ', 'kamala harris is depicted on the front of a doritos bag ', 'kamala is on a bag of doritos ', 'kamala harris on a doritos bag that says trump is nacho president', 'kamala harris on a doritos bag that says trump is nacho president']",Donald Trump,Character Caricature
