Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
two polaroid photographs the one one the right is black with the blotch of red in the middle the left is putin and biden hugging ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
kamala harris is speaking at a rally and her speech is extremely repetitive and doesnt make a lot of sense ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
the sharer posted a video showing her reacting to the deepfake of kamala harris talking at a rally ,31,31_crowd_video_billions_attending,"['crowd', 'video', 'billions', 'attending', 'glitches', 'force', 'rally', 'first', 'air', 'harris']","['it is a video of kamala harris coming off a plane and a crowd just appears out of nowhere', 'it is a video of a kamala harris rally in the mountain with billions of people attending', 'kamala harris hosting a massive rally on top of mount everest with about the crowd size of millions or even billions attending', 'kamala harris is walking off of air force 2 and at first there is no crowd then the video glitches and a large crowd appears and starts cheering ', 'kamala harris is exiting air force 2 to attend a rally taking place at the airport at first she is walking down the stairs and no one is waiting for her arrival then the video glitches and you see that there is now a large crowd edited into the video']",crowd - video - billions - attending - glitches - force - rally - first - air - harris,False
the video shows donald trump mike pence and lindsey graham dressed in drag donald trump is asking his republican supports to stop drag bans because he loves dressing in drag ,9,9_drag_queen_mike_pence,"['drag', 'queen', 'mike', 'pence', 'figures', 'various', 'pride', 'as', 'walking', 'dressed']","['mitch mcconnell as a drag queen', 'ted cruz is depicted as a drag queen ', 'mike pence is depicted as a drag queen wearing a bright pink outfit ', 'the video shows donald trump mike pence and lindsey graham dressed in drag donald trump is asking his republican supports to stop drag bans because he loves dressing in drag ', 'mike pence is dressed in drag']",drag - queen - mike - pence - figures - various - pride - as - walking - dressed,True
aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,True
the video shows a news clip from tucker carlsons segment on fox news discussing a problematic update to a video game ,24,24_video_cigarette_desert_cowboy,"['video', 'cigarette', 'desert', 'cowboy', 'bandana', 'smoking', 'shooting', 'bush', 'maga', 'gun']","['this is a music video that depicts trump in different patriotic scenes centering around how maga is good for our country ', 'the video shows a news clip from tucker carlsons segment on fox news discussing a problematic update to a video game ', 'the video shows a scene of 43rd president george w bush and a bearded man resembling osama bin laden joyfully running handinhand through a field and then an explosion takes places at the end of the video', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun']",video - cigarette - desert - cowboy - bandana - smoking - shooting - bush - maga - gun,True
the video shows clips from the movie stir crazy where trumps face has been edited onto the face of gene wilder to make it look like trump is in prison ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
donald trump is giving an address and saying that putin will help him become king of america ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
trumps face has been edited onto the characters in the baby shark video ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
trump is giving an interview with fox news and is spewing conspiracy theories about christianity and islam ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
desantis is seen giving an address and talking about his newfound opportuntiy to rise to power,28,28_ron_desantis_boy_indictement,"['ron', 'desantis', 'boy', 'indictement', 'means', 'option', 'assigned', 'longer', 'now', 'how']","['ron desantis saying that he is going to drop out of the election race immediately ', 'it is an image of ron desantis if he were a member a 2009 boy band', 'this shows a ron desantis as a fall out boy ', 'ron desansis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option ', 'ron desantis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option']",ron - desantis - boy - indictement - means - option - assigned - longer - now - how,False
the deepfake shows footage of joe biden nancy pelosi and aoc determining how they want to handle the aftermath of the january 6th insurrection ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
president biden is giving a speech and he is saying that the selective service act will be invoked to open up the draft for men and women ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
president biden announces his resignation and that tupac shakur will be his replacement tupac rose from the dead to become the new president and biden is calling to action us citizens to support him ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,True
